NO.	GN	AGE	EDU	HHM	HHW	IWORK	IOPW	IRTEH	RESTEHP	IWTEH	ITT	HHINC	IEVAL	PHU	MAIN_MODE	SEC_MODE	TTSTA	STOP	TAXI	HHCOW	WILLP	W_CAR_TT	W_CAR_CO	W_CAR_WT	W_PT_TT	W_PT_CO	W_PT_WT	W_AT_TT	W_AT_CO	W_AT_WT	W_T_TT	W_T_CO	W_T_WT	WorkTrip_CHOICE	MEHTR	EMTR	TaxiMoreComfortableThanAuto	NeedCarAtWork	PreferNotToDrive	EcoSysFriendly	PreferToUsePT	TaxiWaitingTime	PreferWalking	PreferAuto	StressfulWhilePassanger	ParkingNotAvailable	PreferToRenACar	PreferTaxi	UsedCruise	PreferElectricAuto	PreferHybridAuto	TrustAutoDrive	UsingSiriORAlexa	TrustCruise	UseGoogleMas	UsingTimeINAuto	FacingTraffic	SharedApp	BeingOnTimeMatters	ATUsingCamera	TalkingToOperator	LandOperatorControl	ATWorkWithTaxi	MobileIsImportant	RecreationRatherWork	TechnologyMatter	WorryAboutPrivacy	WaitingForNewBrandTech	SharingTripIsOk	EconomicalSatisfied
1	2	4	2	1	1	3	6	2	1	2	1	6	2	4	1	2	1	1	3	1	1	75	30	2	85	15	15	20	400	10	70	120	5	2	4	0	4	5	3	5	1	1	1	3	2	1	1	2	4	4	4	4	5	5	5	5	1	5	4	4	4	1	3	4	2	4	4	4	1	4
2	2	4	2	1	1	3	6	2	1	2	1	6	2	4	1	2	1	1	3	1	1	75	70	0	105	10	25	20	400	10	70	100	10	1	4	0	4	5	3	5	1	1	1	3	2	1	1	2	4	4	4	4	5	5	5	5	1	5	4	4	4	1	3	4	2	4	4	4	1	4
3	2	4	2	1	1	3	6	2	1	2	1	6	2	4	1	2	1	1	3	1	1	50	50	2	85	15	25	20	400	5	70	120	10	3	4	0	4	5	3	5	1	1	1	3	2	1	1	2	4	4	4	4	5	5	5	5	1	5	4	4	4	1	3	4	2	4	4	4	1	4
4	2	4	2	1	1	3	6	2	1	2	1	6	2	4	1	2	1	1	3	1	1	90	50	4	70	10	25	20	600	5	90	100	10	2	4	0	4	5	3	5	1	1	1	3	2	1	1	2	4	4	4	4	5	5	5	5	1	5	4	4	4	1	3	4	2	4	4	4	1	4
5	2	4	2	1	1	3	6	2	1	2	1	6	2	4	1	2	1	1	3	1	1	50	30	0	105	10	25	15	600	7	70	100	5	1	4	0	4	5	3	5	1	1	1	3	2	1	1	2	4	4	4	4	5	5	5	5	1	5	4	4	4	1	3	4	2	4	4	4	1	4
6	2	4	2	1	1	3	6	2	1	2	1	6	2	4	1	2	1	1	3	1	1	90	50	4	70	5	15	15	600	7	90	150	10	4	4	0	4	5	3	5	1	1	1	3	2	1	1	2	4	4	4	4	5	5	5	5	1	5	4	4	4	1	3	4	2	4	4	4	1	4
7	1	4	3	1	1	1	5	1	2	1	3	7	2	4	1	4	2	2	1	1	5	75	30	2	85	15	15	20	400	10	70	120	5	1	4	0	4	3	4	5	4	2	5	4	3	5	4	3	4	4	3	3	4	4	4	5	5	4	5	5	3	3	4	5	4	4	3	5	5	2
8	1	4	3	1	1	1	5	1	2	1	3	7	2	4	1	4	2	2	1	1	5	75	70	0	105	10	25	20	400	10	70	100	10	1	4	0	4	3	4	5	4	2	5	4	3	5	4	3	4	4	3	3	4	4	4	5	5	4	5	5	3	3	4	5	4	4	3	5	5	2
9	1	4	3	1	1	1	5	1	2	1	3	7	2	4	1	4	2	2	1	1	5	50	50	2	85	15	25	20	400	5	70	120	10	1	4	0	4	3	4	5	4	2	5	4	3	5	4	3	4	4	3	3	4	4	4	5	5	4	5	5	3	3	4	5	4	4	3	5	5	2
10	1	4	3	1	1	1	5	1	2	1	3	7	2	4	1	4	2	2	1	1	5	90	50	4	70	10	25	20	600	5	90	100	10	1	4	0	4	3	4	5	4	2	5	4	3	5	4	3	4	4	3	3	4	4	4	5	5	4	5	5	3	3	4	5	4	4	3	5	5	2
11	1	4	3	1	1	1	5	1	2	1	3	7	2	4	1	4	2	2	1	1	5	50	30	0	105	10	25	15	600	7	70	100	5	1	4	0	4	3	4	5	4	2	5	4	3	5	4	3	4	4	3	3	4	4	4	5	5	4	5	5	3	3	4	5	4	4	3	5	5	2
12	1	4	3	1	1	1	5	1	2	1	3	7	2	4	1	4	2	2	1	1	5	90	50	4	70	5	15	15	600	7	90	150	10	1	4	0	4	3	4	5	4	2	5	4	3	5	4	3	4	4	3	3	4	4	4	5	5	4	5	5	3	3	4	5	4	4	3	5	5	2
13	2	4	4	3	3	5	7	2	0	2	1	4	2	4	1	3	1	1	4	3	3	75	30	2	85	15	15	20	400	10	70	120	5	4	2	0	1	4	2	5	4	3	4	4	2	3	1	2	4	5	5	3	2	4	3	4	4	2	5	3	3	1	3	5	1	3	4	2	4	2
14	2	4	4	3	3	5	7	2	0	2	1	4	2	4	1	3	1	1	4	3	3	75	70	0	105	10	25	20	400	10	70	100	10	4	2	0	1	4	2	5	4	3	4	4	2	3	1	2	4	5	5	3	2	4	3	4	4	2	5	3	3	1	3	5	1	3	4	2	4	2
15	2	4	4	3	3	5	7	2	0	2	1	4	2	4	1	3	1	1	4	3	3	50	50	2	85	15	25	20	400	5	70	120	10	1	2	0	1	4	2	5	4	3	4	4	2	3	1	2	4	5	5	3	2	4	3	4	4	2	5	3	3	1	3	5	1	3	4	2	4	2
16	2	4	4	3	3	5	7	2	0	2	1	4	2	4	1	3	1	1	4	3	3	90	50	4	70	10	25	20	600	5	90	100	10	4	2	0	1	4	2	5	4	3	4	4	2	3	1	2	4	5	5	3	2	4	3	4	4	2	5	3	3	1	3	5	1	3	4	2	4	2
17	2	4	4	3	3	5	7	2	0	2	1	4	2	4	1	3	1	1	4	3	3	50	30	0	105	10	25	15	600	7	70	100	5	1	2	0	1	4	2	5	4	3	4	4	2	3	1	2	4	5	5	3	2	4	3	4	4	2	5	3	3	1	3	5	1	3	4	2	4	2
18	2	4	4	3	3	5	7	2	0	2	1	4	2	4	1	3	1	1	4	3	3	90	50	4	70	5	15	15	600	7	90	150	10	4	2	0	1	4	2	5	4	3	4	4	2	3	1	2	4	5	5	3	2	4	3	4	4	2	5	3	3	1	3	5	1	3	4	2	4	2
19	2	4	3	5	3	2	5	1	5	1	2	6	3	1	1	4	1	1	3	3	5	75	30	2	85	15	15	20	400	10	70	120	5	2	4	0	2	4	2	4	2	4	4	4	2	4	3	2	2	4	4	2	4	2	4	3	4	4	4	4	4	3	3	4	4	4	2	4	2	2
